Date,Closing Price,Change,Trading Volume (shr),Trading Value (KHR),Opening,High,Low,Market Cap. (Mil.KHR),Full Market Cap. (Mil.KHR)
26/10/2023,"2,100",,"4,441","9,275,570","2,130","2,140","2,070","150,938","150,938"
25/10/2023,"2,100",,"7,823","16,490,800","2,140","2,140","2,080","150,938","150,938"
24/10/2023,"2,140",,"1,873","3,980,940","2,160","2,160","2,120","153,812","153,812"
23/10/2023,"2,160",,"6,629","14,142,830","2,150","2,180","2,120","155,250","155,250"
20/10/2023,"2,170",,"1,454","3,146,250","2,180","2,190","2,160","155,969","155,969"
19/10/2023,"2,170",,264,"570,700","2,160","2,180","2,160","155,969","155,969"
18/10/2023,"2,160",,"1,028","2,219,370","2,150","2,180","2,150","155,250","155,250"
17/10/2023,"2,190",,163,"356,850","2,190","2,190","2,180","157,406","157,406"
16/10/2023,"2,180",,"2,038","4,351,530","2,190","2,200","2,130","156,688","156,688"
12/10/2023,"2,190",,920,"2,000,800","2,160","2,190","2,160","157,406","157,406"
11/10/2023,"2,170",,"8,575","18,329,250","2,190","2,190","2,130","155,969","155,969"
10/10/2023,"2,170",,"2,883","6,221,070","2,180","2,180","2,140","155,969","155,969"
09/10/2023,"2,180",,703,"1,534,710","2,180","2,190","2,170","156,688","156,688"
06/10/2023,"2,180",,"1,303","2,829,900","2,180","2,190","2,160","156,688","156,688"
05/10/2023,"2,190",,897,"1,952,660","2,180","2,190","2,170","157,406","157,406"
04/10/2023,"2,180",,413,"896,840","2,180","2,180","2,170","156,688","156,688"
03/10/2023,"2,180",,407,"884,300","2,170","2,190","2,170","156,688","156,688"
02/10/2023,"2,170",,670,"1,457,770","2,190","2,190","2,170","155,969","155,969"
29/09/2023,"2,190",,989,"2,159,060","2,190","2,190","2,180","157,406","157,406"
28/09/2023,"2,170",,281,"610,940","2,190","2,190","2,170","155,969","155,969"
27/09/2023,"2,180",,"5,659","12,270,170","2,190","2,190","2,160","156,688","156,688"
26/09/2023,"2,190",,"7,358","16,056,720","2,190","2,200","2,170","157,406","157,406"
25/09/2023,"2,190",,959,"2,101,040","2,190","2,200","2,190","157,406","157,406"
22/09/2023,"2,190",,585,"1,285,720","2,200","2,200","2,180","157,406","157,406"
21/09/2023,"2,200",,860,"1,883,560","2,190","2,200","2,190","158,125","158,125"
20/09/2023,"2,190",,684,"1,499,620","2,210","2,210","2,190","157,406","157,406"
19/09/2023,"2,210",,"1,605","3,519,750","2,170","2,210","2,170","158,844","158,844"
18/09/2023,"2,180",,623,"1,360,860","2,220","2,220","2,180","156,688","156,688"
15/09/2023,"2,190",,"3,907","8,537,090","2,190","2,200","2,180","157,406","157,406"
14/09/2023,"2,190",,471,"1,034,830","2,210","2,210","2,190","157,406","157,406"
13/09/2023,"2,190",,"5,080","11,165,240","2,180","2,250","2,180","157,406","157,406"
12/09/2023,"2,190",,"1,506","3,291,650","2,200","2,200","2,180","157,406","157,406"
11/09/2023,"2,200",,"2,162","4,746,320","2,180","2,200","2,170","158,125","158,125"
08/09/2023,"2,180",,"2,593","5,650,710","2,190","2,190","2,170","156,688","156,688"
07/09/2023,"2,190",,"2,852","6,246,380","2,210","2,210","2,190","157,406","157,406"
06/09/2023,"2,210",,"1,105","2,432,410","2,210","2,210","2,200","158,844","158,844"
05/09/2023,"2,200",,"1,562","3,436,410","2,200","2,210","2,200","158,125","158,125"
04/09/2023,"2,200",,"2,264","5,000,920","2,210","2,220","2,200","158,125","158,125"
01/09/2023,"2,210",,603,"1,331,770","2,210","2,220","2,200","158,844","158,844"
31/08/2023,"2,210",,"3,178","7,000,720","2,220","2,220","2,200","158,844","158,844"
30/08/2023,"2,220",,476,"1,055,280","2,220","2,220","2,210","159,562","159,562"
29/08/2023,"2,220",,"2,877","6,365,970","2,220","2,220","2,210","159,562","159,562"
28/08/2023,"2,230",,"1,807","4,034,080","2,240","2,240","2,220","160,281","160,281"
25/08/2023,"2,240",,"13,672","30,370,420","2,230","2,250","2,220","161,000","161,000"
24/08/2023,"2,250",,511,"1,149,750","2,250","2,250","2,250","161,719","161,719"
23/08/2023,"2,230",,"12,421","27,643,800","2,250","2,250","2,220","160,281","160,281"
22/08/2023,"2,250",,"2,411","5,421,860","2,260","2,260","2,240","161,719","161,719"
21/08/2023,"2,250",,"2,030","4,554,350","2,250","2,270","2,240","161,719","161,719"
18/08/2023,"2,250",,963,"2,164,900","2,260","2,260","2,240","161,719","161,719"
17/08/2023,"2,250",,"1,304","2,923,000","2,250","2,250","2,240","161,719","161,719"
16/08/2023,"2,250",,"2,711","6,077,900","2,230","2,270","2,230","161,719","161,719"
15/08/2023,"2,260",,517,"1,165,570","2,270","2,270","2,250","162,438","162,438"
14/08/2023,"2,270",,"6,978","15,756,470","2,250","2,280","2,240","163,156","163,156"
11/08/2023,"2,250",,"10,203","22,958,800","2,260","2,270","2,220","161,719","161,719"
10/08/2023,"2,220",,632,"1,402,650","2,200","2,250","2,200","159,562","159,562"
09/08/2023,"2,210",,"2,200","4,851,960","2,240","2,240","2,200","158,844","158,844"
08/08/2023,"2,240",,"4,644","10,297,240","2,260","2,260","2,200","161,000","161,000"
07/08/2023,"2,240",,"1,598","3,602,200","2,260","2,260","2,230","161,000","161,000"
04/08/2023,"2,260",,851,"1,919,170","2,270","2,270","2,240","162,438","162,438"
03/08/2023,"2,270",,"2,558","5,717,250","2,270","2,270","2,230","163,156","163,156"
02/08/2023,"2,260",,"5,695","12,932,470","2,270","2,290","2,250","162,438","162,438"
01/08/2023,"2,270",,"2,487","5,659,090","2,280","2,280","2,260","163,156","163,156"
31/07/2023,"2,280",,"7,257","16,342,540","2,290","2,290","2,240","163,875","163,875"
28/07/2023,"2,290",,"3,991","9,078,100","2,300","2,300","2,270","164,594","164,594"
27/07/2023,"2,300",,"1,913","4,343,850","2,280","2,300","2,250","165,312","165,312"
26/07/2023,"2,300",,"2,104","4,818,490","2,300","2,300","2,270","165,312","165,312"
25/07/2023,"2,300",,869,"1,993,510","2,310","2,310","2,290","165,312","165,312"
21/07/2023,"2,310",,995,"2,293,590","2,320","2,320","2,290","166,031","166,031"
20/07/2023,"2,310",,"2,081","4,789,340","2,340","2,340","2,290","166,031","166,031"
19/07/2023,"2,290",,"7,809","17,793,430","2,320","2,320","2,250","164,594","164,594"
18/07/2023,"2,340",,"23,686","54,788,600","2,250","2,350","2,250","168,188","168,188"
17/07/2023,"2,250",,"12,371","27,837,970","2,290","2,290","2,240","161,719","161,719"
14/07/2023,"2,250",,"6,064","13,734,610","2,250","2,290","2,230","161,719","161,719"
13/07/2023,"2,250",,"11,247","25,658,410","2,280","2,310","2,240","161,719","161,719"
12/07/2023,"2,270",,"52,858","121,003,610","2,340","2,360","2,200","163,156","163,156"
11/07/2023,"2,350",,"103,918","237,635,430","2,140","2,350","2,090","168,906","168,906"
10/07/2023,"2,140",,"5,236","11,228,340","2,180","2,180","2,130","153,812","153,812"
07/07/2023,"2,180",,"3,546","7,654,570","2,180","2,180","2,140","156,688","156,688"
06/07/2023,"2,170",,"12,107","26,097,340","2,180","2,200","2,140","155,969","155,969"
05/07/2023,"2,180",,"1,420","3,100,240","2,190","2,190","2,180","156,688","156,688"
04/07/2023,"2,190",,"2,766","6,030,830","2,200","2,200","2,170","157,406","157,406"
03/07/2023,"2,190",,307,"672,020","2,200","2,200","2,180","157,406","157,406"
30/06/2023,"2,190",,"1,261","2,761,880","2,220","2,220","2,180","157,406","157,406"
29/06/2023,"2,190",,"2,770","6,036,130","2,210","2,210","2,140","157,406","157,406"
28/06/2023,"2,200",,"27,842","59,137,680","2,080","2,230","2,080","158,125","158,125"
27/06/2023,"2,220",,"4,529","10,068,010","2,230","2,240","2,210","159,562","159,562"
26/06/2023,"2,230",,466,"1,041,360","2,240","2,240","2,230","160,281","160,281"
23/06/2023,"2,240",,"1,932","4,324,600","2,250","2,250","2,230","161,000","161,000"
22/06/2023,"2,260",,"9,596","21,437,220","2,260","2,270","2,210","162,438","162,438"
21/06/2023,"2,280",,"1,894","4,318,380","2,290","2,290","2,270","163,875","163,875"
20/06/2023,"2,290",,"1,400","3,205,140","2,290","2,290","2,280","164,594","164,594"
19/06/2023,"2,290",,"2,380","5,422,180","2,290","2,290","2,270","164,594","164,594"
16/06/2023,"2,290",,726,"1,655,670","2,290","2,290","2,260","164,594","164,594"
15/06/2023,"2,290",,"1,805","4,132,850","2,280","2,290","2,280","164,594","164,594"
14/06/2023,"2,280",,"3,864","8,829,150","2,290","2,300","2,260","163,875","163,875"
13/06/2023,"2,290",,"7,056","16,060,650","2,300","2,300","2,250","164,594","164,594"
12/06/2023,"2,310",,"25,100","57,229,990","2,320","2,320","2,270","166,031","166,031"
09/06/2023,"2,320",,"1,849","4,261,360","2,320","2,320","2,300","166,750","166,750"
08/06/2023,"2,310",,"2,238","5,159,570","2,320","2,320","2,300","166,031","166,031"
07/06/2023,"2,320",,"4,214","9,751,220","2,340","2,340","2,300","166,750","166,750"
06/06/2023,"2,340",,660,"1,541,900","2,340","2,340","2,330","168,188","168,188"
05/06/2023,"2,340",,"2,859","6,628,560","2,340","2,340","2,300","168,188","168,188"
02/06/2023,"2,340",,"2,635","6,133,280","2,330","2,340","2,310","168,188","168,188"
01/06/2023,"2,330",,"3,869","9,019,440","2,310","2,340","2,310","167,469","167,469"
31/05/2023,"2,330",,"5,741","13,306,580","2,310","2,340","2,310","167,469","167,469"
30/05/2023,"2,350",,"8,974","20,951,100","2,350","2,360","2,320","168,906","168,906"
29/05/2023,"2,350",,"2,369","5,560,610","2,350","2,360","2,340","168,906","168,906"
26/05/2023,"2,350",,"4,947","11,629,260","2,330","2,360","2,330","168,906","168,906"
25/05/2023,"2,370",,"9,189","21,501,180","2,370","2,370","2,330","170,344","170,344"
24/05/2023,"2,370",,"2,274","5,354,320","2,360","2,370","2,330","170,344","170,344"
23/05/2023,"2,370",,"1,745","4,117,340","2,360","2,370","2,350","170,344","170,344"
22/05/2023,"2,360",,"1,550","3,672,480","2,380","2,380","2,350","169,625","169,625"
19/05/2023,"2,360",,"3,957","9,350,950","2,360","2,400","2,350","169,625","169,625"
18/05/2023,"2,360",,"1,661","3,905,420","2,350","2,360","2,340","169,625","169,625"
17/05/2023,"2,360",,"2,799","6,555,810","2,330","2,360","2,330","169,625","169,625"
16/05/2023,"2,360",,"2,564","6,050,580","2,360","2,370","2,350","169,625","169,625"
15/05/2023,"2,370",,"3,160","7,401,790","2,360","2,380","2,340","170,344","170,344"
12/05/2023,"2,360",,"1,673","3,931,390","2,370","2,370","2,340","169,625","169,625"
11/05/2023,"2,360",,"2,303","5,455,500","2,360","2,380","2,360","169,625","169,625"
10/05/2023,"2,360",,591,"1,391,350","2,360","2,370","2,350","169,625","169,625"
09/05/2023,"2,370",,"3,268","7,675,800","2,380","2,380","2,340","170,344","170,344"
05/05/2023,"2,360",,"11,021","25,964,640","2,400","2,400","2,350","169,625","169,625"
03/05/2023,"2,380",,"12,160","28,867,270","2,360","2,390","2,360","171,062","171,062"
02/05/2023,"2,380",,"20,774","49,420,010","2,400","2,400","2,370","171,062","171,062"
28/04/2023,"2,400",,"8,492","20,289,460","2,380","2,400","2,370","172,500","172,500"
27/04/2023,"2,380",,"1,208","2,879,590","2,380","2,390","2,370","171,062","171,062"
26/04/2023,"2,380",,"1,200","2,855,770","2,410","2,410","2,370","171,062","171,062"
25/04/2023,"2,390",,"8,353","19,912,560","2,390","2,400","2,370","171,781","171,781"
24/04/2023,"2,380",,"13,427","32,069,640","2,400","2,400","2,350","171,062","171,062"
21/04/2023,"2,370",,"4,655","11,104,290","2,390","2,390","2,370","170,344","170,344"
20/04/2023,"2,390",,"3,544","8,395,530","2,390","2,390","2,350","171,781","171,781"
