Date,Closing Price,Change,Trading Volume (shr),Trading Value (KHR),Opening,High,Low,Market Cap. (Mil.KHR),Full Market Cap. (Mil.KHR)
04/09/2023,"2,130",,"23,158","48,977,240","2,160","2,160","2,100","690,247","690,247"
01/09/2023,"2,150",,"24,757","52,562,270","2,160","2,160","2,120","696,728","696,728"
31/08/2023,"2,160",,"6,149","13,153,890","2,160","2,160","2,130","699,969","699,969"
30/08/2023,"2,170",,"4,313","9,316,680","2,160","2,170","2,140","703,209","703,209"
29/08/2023,"2,170",,"26,809","57,989,510","2,160","2,170","2,130","703,209","703,209"
28/08/2023,"2,160",,"37,475","79,927,580","2,130","2,170","2,120","699,969","699,969"
25/08/2023,"2,140",,"11,814","25,396,140","2,160","2,170","2,140","693,487","693,487"
24/08/2023,"2,160",,"9,225","19,941,810","2,180","2,180","2,160","699,969","699,969"
23/08/2023,"2,170",,"13,348","28,933,010","2,180","2,180","2,160","703,209","703,209"
22/08/2023,"2,180",,"15,410","33,387,630","2,190","2,190","2,160","706,450","706,450"
21/08/2023,"2,190",,"14,643","31,897,520","2,180","2,190","2,160","709,690","709,690"
18/08/2023,"2,180",,"26,508","57,753,600","2,200","2,200","2,170","706,450","706,450"
17/08/2023,"2,200",,"15,561","33,944,380","2,200","2,200","2,170","712,931","712,931"
16/08/2023,"2,200",,"21,547","47,188,290","2,190","2,210","2,180","712,931","712,931"
15/08/2023,"2,190",,"14,303","31,224,860","2,190","2,200","2,180","709,690","709,690"
14/08/2023,"2,190",,"38,494","83,928,790","2,190","2,200","2,170","709,690","709,690"
11/08/2023,"2,190",,"3,331","7,304,020","2,200","2,200","2,180","709,690","709,690"
10/08/2023,"2,200",,"19,685","43,113,660","2,180","2,210","2,170","712,931","712,931"
09/08/2023,"2,180",,"14,433","31,505,150","2,190","2,200","2,170","706,450","706,450"
08/08/2023,"2,190",,"58,379","127,780,930","2,210","2,230","2,170","709,690","709,690"
07/08/2023,"2,210",,"18,999","41,924,900","2,240","2,240","2,200","716,172","716,172"
04/08/2023,"2,240",,"32,862","73,461,970","2,240","2,240","2,220","725,893","725,893"
03/08/2023,"2,240",,"8,904","19,827,010","2,220","2,240","2,200","725,893","725,893"
02/08/2023,"2,250",,"53,752","119,330,320","2,230","2,250","2,170","729,134","729,134"
