Date,Closing Price,Change,Trading Volume (shr),Trading Value (KHR),Opening,High,Low,Market Cap. (Mil.KHR),Full Market Cap. (Mil.KHR)
03/10/2023,"12,240",,157,"1,917,440","12,240","12,240","12,180","1,049,849","5,511,707"
02/10/2023,"12,240",,629,"7,675,000","12,240","12,240","12,180","1,049,849","5,511,707"
29/09/2023,"12,240",,372,"4,545,180","12,240","12,240","12,200","1,049,849","5,511,707"
28/09/2023,"12,220",,605,"7,403,260","12,240","12,240","12,220","1,048,133","5,502,701"
27/09/2023,"12,200",,453,"5,526,740","12,140","12,240","12,140","1,046,418","5,493,695"
26/09/2023,"12,240",,985,"11,989,300","12,240","12,240","12,140","1,049,849","5,511,707"
25/09/2023,"12,220",,187,"2,284,960","12,240","12,280","12,200","1,048,133","5,502,701"
22/09/2023,"12,240",,350,"4,288,940","12,260","12,280","12,240","1,049,849","5,511,707"
21/09/2023,"12,280",,72,"881,760","12,240","12,280","12,240","1,053,280","5,529,719"
20/09/2023,"12,240",,"1,646","20,086,700","12,240","12,240","12,140","1,049,849","5,511,707"
19/09/2023,"12,240",,836,"10,204,620","12,280","12,280","12,200","1,049,849","5,511,707"
18/09/2023,"12,240",,296,"3,624,620","12,300","12,300","12,220","1,049,849","5,511,707"
15/09/2023,"12,300",,685,"8,422,880","12,280","12,300","12,280","1,054,995","5,538,725"
14/09/2023,"12,300",,"2,149","26,398,820","12,300","12,300","12,200","1,054,995","5,538,725"
13/09/2023,"12,340",,601,"7,330,080","12,380","12,380","12,160","1,058,426","5,556,737"
12/09/2023,"12,200",,"1,305","15,882,480","12,200","12,200","12,140","1,046,418","5,493,695"
11/09/2023,"12,200",,"1,626","19,777,040","12,220","12,300","12,080","1,046,418","5,493,695"
08/09/2023,"12,300",,432,"5,325,660","12,460","12,460","12,200","1,054,995","5,538,725"
07/09/2023,"12,220",,"1,379","16,847,820","12,300","12,300","12,200","1,048,133","5,502,701"
06/09/2023,"12,300",,"2,321","28,427,720","12,300","12,300","12,200","1,054,995","5,538,725"
05/09/2023,"12,380",,"1,789","21,871,340","12,360","12,400","12,200","1,061,857","5,574,749"
04/09/2023,"12,400",,393,"4,868,220","12,480","12,480","12,360","1,063,572","5,583,755"
01/09/2023,"12,400",,"1,093","13,524,000","12,380","12,400","12,340","1,063,572","5,583,755"
31/08/2023,"12,400",,284,"3,517,780","12,400","12,420","12,380","1,063,572","5,583,755"
30/08/2023,"12,420",,383,"4,753,600","12,440","12,440","12,400","1,065,288","5,592,761"
29/08/2023,"12,440",,646,"8,010,440","12,400","12,440","12,400","1,067,003","5,601,767"
28/08/2023,"12,400",,"2,718","33,741,400","12,500","12,500","12,380","1,063,572","5,583,755"
25/08/2023,"12,500",,907,"11,321,300","12,540","12,540","12,440","1,072,150","5,628,785"
24/08/2023,"12,540",,"1,820","22,731,140","12,500","12,560","12,460","1,075,580","5,646,797"
23/08/2023,"12,500",,"2,377","29,686,160","12,500","12,520","12,480","1,072,150","5,628,785"
22/08/2023,"12,500",,"3,732","46,739,460","12,560","12,600","12,500","1,072,150","5,628,785"
21/08/2023,"12,560",,"2,199","27,556,340","12,600","12,620","12,500","1,077,296","5,655,804"
18/08/2023,"12,580",,994,"12,525,020","12,680","12,680","12,580","1,079,011","5,664,810"
17/08/2023,"12,640",,498,"6,290,320","12,640","12,640","12,620","1,084,158","5,691,828"
16/08/2023,"12,640",,539,"6,814,600","12,700","12,700","12,640","1,084,158","5,691,828"
